region,district,settlement,lat,lon,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,comment
Кировская область,Афанасьевский район,Аверинская,58.829290,53.295420,,,,,,,,
Кировская область,Афанасьевский район,Алешата,58.448400,53.467400,,,,,,,,
Кировская область,Афанасьевский район,Алёшкины,59.038890,53.302220,,,,,,,,
Кировская область,Афанасьевский район,Анисенки,58.733330,53.400000,,,,,,,,
Кировская область,Афанасьевский район,Антоненки,58.498700,53.630100,,,,,,,,
Кировская область,Афанасьевский район,Архипята,58.961530,53.532980,,,,,,,,
Кировская область,Афанасьевский район,Афанасьево,58.865480,53.258040,,,,,,,,
Кировская область,Афанасьевский район,Афонята,59.339760,52.950790,,,,,,,,
Кировская область,Афанасьевский район,Бармята,58.490300,53.464000,,,,,,,,
Кировская область,Афанасьевский район,Белёво,58.992270,53.656460,,,,,,,,
Кировская область,Афанасьевский район,Бикурай,59.068840,53.498310,,,,,,,,
Кировская область,Афанасьевский район,Бисерово,59.069080,53.262480,,,,,,,,
Кировская область,Афанасьевский район,Бор,59.190790,53.082730,,,,,,,,
Кировская область,Афанасьевский район,Костино,58.909660,53.269070,,,,,,,,
Кировская область,Верхнекамский район,Барановка,59.378280,51.927760,,,,,,,,
Кировская область,Верхнекамский район,Бардинская,59.627000,52.502530,,,,,,,,
Кировская область,Верхнекамский район,Баталово,59.666670,52.547160,,,,,,,,
Кировская область,Верхнекамский район,Безгачево,59.901710,52.491340,,,,,,,,
Кировская область,Верхнекамский район,Бельтюковы,59.741660,52.678740,,,,,,,,
Кировская область,Верхнекамский район,Боровой,59.961940,51.693020,,,,,,,,
Кировская область,Верхнекамский район,Брусничная,59.491370,52.139900,,,,,,,,
Кировская область,Верхнекамский район,Брусничный,59.894230,52.053150,,,,,,,,
Кировская область,Верхнекамский район,Булатово,60.012240,53.007270,,,,,,,,
Кировская область,Верхнекамский район,Кирс,59.338290,52.244020,,,,,,,,
Кировская область,Верхнекамский район,Лесной,59.781000,52.128380,,,,,,,,
Кировская область,Верхнекамский район,Рудничный,59.617020,52.470330,,,,,,,,
Кировская область,Верхнекамский район,Світлополянськ,59.418360,52.360450,,,,,,,,
Кировская область,Верхнекамский район,Созимский,59.741780,52.248210,,,,,,,,
Кировская область,Вятско-Полянский район,Аллаук,56.150000,51.183330,,,,,,,,
Кировская область,Вятско-Полянский район,Архангельское,56.333330,51.116670,,,,,,,,
