feature_id,section,subsection,feature_name,description,source_file,source_pages,example_1,example_2,example_3,example_4,notes
V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),Реализация <ê> в сильной позиции в исконно ятевых морфемах,2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,[д’ê]ло; [св’ê]т; по[л’ê]но; [л’ê]то,[е / и / ê / и͡е / ие / еи],"л’и͡ес, л’êс, в л’êсе, л’и͡есá, л’ис’истой","л’ис – в л’иси, л’исистой",Сохранить специальные знаки транскрипции
V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,Реализация <ô> (<о> под восходящей интонацией),2_TiPVDiLGRYa_Ud-Vok.pdf,4,в[ô]т; дв[ô]р; д[ô]бр; заб[ô]та; к[ô]нь; к[ô]т,[о / ô / у͡о / уо / оу],"лиц[ô], хорош[ô]","с[ô]н, м[ô]х",Архаичные говоры с [ê]
V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,Наличие / отсутствие перехода под ударением перед твёрдым согласным,2_TiPVDiLGRYa_Ud-Vok.pdf,5,"[п’é]с, [л’é]н, не[с’é]шь, не[с’é]м","[п’ó]с, [н’ó]с, ве[з’ó]шь, не[с’ó]м",[н’é]бо / [н’ó]бо; [кр’é]ст / [кр’ó]ст,зе[л’ó]ной > зе[л’óн’е]нькой,
V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,Произношение <а> между мягкими согласными,2_TiPVDiLGRYa_Ud-Vok.pdf,6,о[п’áт’]; [з’áт’]; п[р’áн’]ик; в[з’áл’]и,о[п’éт’]; [з’éт’]; п[р’éн’]ик; в[з’éл’]и,гу[л’áл’]и; ког[т’áм’]и; рем[н’áм’]и,гу[л’éл’]и; ког[т’éм’]и; рем[н’é’]ми,
V005,Гласные,Ударный вокализм,Системные особенности ударного вокализма,Система ударного вокализма в говорах,2_TiPVDiLGRYa_Ud-Vok.pdf,7,"Говоры с шестью, семью или восемью гласными фонемами",Зависимость качества гласных от последующего твёрдого / мягкого согласного,,,
V006,Гласные,Безударный вокализм,Позиция первого предударного слога,Сохранение качества гласных или редукция,3_TiPVDiLGRYa_Bezud-Vok.pdf,2,трáвы – травá; сóвы – совá; двôр – дворы; дêло – делá,тр[а]вá,в [л’а]су / в [л’и]су,[н’е]си / [н’а]си / [н’и]си,
V007,Гласные,Безударный вокализм,Оканье,Различение <о> и <а> после твёрдых согласных в первом предударном слоге,3_TiPVDiLGRYa_Bezud-Vok.pdf,3,с[а]м – с[а]ма; дв[о]р – дв[о]ры,[о/а],[о/о],[о/у],
V008,Гласные,Безударный вокализм,Сверхоканье,Гиперическое / истинное / ложное оканье,3_TiPVDiLGRYa_Bezud-Vok.pdf,3,тр[а]вы – тр[о]ва,"скожи, кокую, нород, скокать","зобор, зобота, локей, корета","торелка, ломпадка",
V009,Гласные,Безударный вокализм,Аканье,Неразличение <о> и <а> после твёрдых согласных в первом предударном слоге,3_TiPVDiLGRYa_Bezud-Vok.pdf,4,с[а]м – с[а]ма; дв[о]р – дв[а]ры,ст[а]лы – тр[а]вы; ст[а]лу – тр[а]ву,ст[ъ]ла – тр[ъ]ва; с[ъ]плей; н[ъ]сок,ассимилятивно-диссимилятивное аканье,В sheet 2 развернуть типы
V010,Гласные,Безударный вокализм,Яканье,"Неразличение <о>, <а>, <е> после мягких согласных",3_TiPVDiLGRYa_Bezud-Vok.pdf,6,[п’а]ть – [п’а]ти; [н’о]с – [н’а]си; [л’е]с – [л’а]са,"[п’а]ти, [н’а]си, в [л’а]су","[п’и]ти, [н’и]си, в [л’и]су",[л’и]са / [р’и]ка,"В sheet 2 развернуть сильное, диссимилятивное, ассимилятивное, умеренное"
