example_id,feature_id,section,subsection,feature_name,transcription_example,source_file,source_pages,notes
V001_EX1,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),[д’ê]ло; [св’ê]т; по[л’ê]но; [л’ê]то,2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V001_EX2,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),[е / и / ê / и͡е / ие / еи],2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V001_EX3,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),"л’и͡ес, л’êс, в л’êсе, л’и͡есá, л’ис’истой",2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V001_EX4,V001,Гласные,Ударный вокализм,Реализация древней фонемы < ê > (ѣ / «ять»),"л’ис – в л’иси, л’исистой",2_TiPVDiLGRYa_Ud-Vok.pdf,2-3,Сохранить специальные знаки транскрипции
V002_EX1,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,в[ô]т; дв[ô]р; д[ô]бр; заб[ô]та; к[ô]нь; к[ô]т,2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V002_EX2,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,[о / ô / у͡о / уо / оу],2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V002_EX3,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,"лиц[ô], хорош[ô]",2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V002_EX4,V002,Гласные,Ударный вокализм,Реализация древней фонемы < ô >,"с[ô]н, м[ô]х",2_TiPVDiLGRYa_Ud-Vok.pdf,4,Архаичные говоры с [ê]
V003_EX1,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,"[п’é]с, [л’é]н, не[с’é]шь, не[с’é]м",2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V003_EX2,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,"[п’ó]с, [н’ó]с, ве[з’ó]шь, не[с’ó]м",2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V003_EX3,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,[н’é]бо / [н’ó]бо; [кр’é]ст / [кр’ó]ст,2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V003_EX4,V003,Гласные,Ударный вокализм,Переход фонемы < е > в фонему < о >,зе[л’ó]ной > зе[л’óн’е]нькой,2_TiPVDiLGRYa_Ud-Vok.pdf,5,
V004_EX1,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,о[п’áт’]; [з’áт’]; п[р’áн’]ик; в[з’áл’]и,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V004_EX2,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,о[п’éт’]; [з’éт’]; п[р’éн’]ик; в[з’éл’]и,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V004_EX3,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,гу[л’áл’]и; ког[т’áм’]и; рем[н’áм’]и,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V004_EX4,V004,Гласные,Ударный вокализм,Реализация фонемы < а > между мягкими согласными,гу[л’éл’]и; ког[т’éм’]и; рем[н’é’]ми,2_TiPVDiLGRYa_Ud-Vok.pdf,6,
V005_EX1,V005,Гласные,Ударный вокализм,Системные особенности ударного вокализма,"Говоры с шестью, семью или восемью гласными фонемами",2_TiPVDiLGRYa_Ud-Vok.pdf,7,
